organisationName,gridReference,year,taxonName,taxonGroup
Joint Nature Conservation Committee,NT265775,2000,Sterna hirundo,Bird
Joint Nature Conservation Committee,NT235775,2000,Sterna hirundo,Bird
Joint Nature Conservation Committee,NT235775,2000,Sterna paradisaea,Bird
British Trust for Ornithology,NT27,2000,Branta canadensis,Bird
British Trust for Ornithology,NT27,2000,Branta leucopsis,Bird
The Wildlife Information Centre,NT27S,2001,Turdus merula,Bird
The Wildlife Information Centre,NT27S,2001,Cyanistes caeruleus,Bird
The Wildlife Information Centre,NT27S,2001,Pyrrhula pyrrhula,Bird
The Wildlife Information Centre,NT27S,2001,Fringilla coelebs,Bird
The Wildlife Information Centre,NT27S,2001,Prunella modularis,Bird
The Wildlife Information Centre,NT27S,2001,Parus major,Bird
The Wildlife Information Centre,NT27S,2001,Pica pica,Bird
The Wildlife Information Centre,NT27S,2001,Erithacus rubecula,Bird
The Wildlife Information Centre,NT27S,2001,Sturnus vulgaris,Bird
The Wildlife Information Centre,NT27S,2001,Phylloscopus trochilus,Bird
The Wildlife Information Centre,NT27S,2001,Columba palumbus,Bird
The Wildlife Information Centre,NT27S,2001,Troglodytes troglodytes,Bird
British Trust for Ornithology,NT27,2001,Branta leucopsis,Bird
British Trust for Ornithology,NT27,2001,Branta canadensis,Bird
British Trust for Ornithology,NT27,2002,Branta canadensis,Bird
British Trust for Ornithology,NT27,2002,Branta leucopsis,Bird
British Trust for Ornithology,NT2675,2003,Fringilla coelebs,Bird
British Trust for Ornithology,NT2675,2003,Motacilla cinerea,Bird
British Trust for Ornithology,NT2675,2003,Apus apus,Bird
British Trust for Ornithology,NT2675,2003,Prunella modularis,Bird
British Trust for Ornithology,NT2675,2003,Linaria cannabina,Bird
British Trust for Ornithology,NT2675,2003,Passer domesticus,Bird
British Trust for Ornithology,NT2675,2003,Parus major,Bird
British Trust for Ornithology,NT2675,2003,Delichon urbicum,Bird
British Trust for Ornithology,NT2675,2003,Larus argentatus,Bird
British Trust for Ornithology,NT2675,2003,Troglodytes troglodytes,Bird
British Trust for Ornithology,NT2675,2003,Pica pica,Bird
British Trust for Ornithology,NT2675,2003,Motacilla alba,Bird
British Trust for Ornithology,NT2675,2003,Cyanistes caeruleus,Bird
British Trust for Ornithology,NT2675,2003,Turdus viscivorus,Bird
British Trust for Ornithology,NT2675,2003,Corvus corone,Bird
British Trust for Ornithology,NT2675,2003,Larus fuscus,Bird
British Trust for Ornithology,NT2675,2003,Chloris chloris,Bird
British Trust for Ornithology,NT2675,2003,Columba palumbus,Bird
British Trust for Ornithology,NT2675,2003,Turdus merula,Bird
British Trust for Ornithology,NT2675,2003,Sturnus vulgaris,Bird
British Trust for Ornithology,NT2675,2003,Columba livia,Bird
British Trust for Ornithology,NT2675,2003,Columba livia,Bird
British Trust for Ornithology,NT2675,2003,Erithacus rubecula,Bird
British Trust for Ornithology,NT2675,2003,Streptopelia decaocto,Bird
British Trust for Ornithology,NT2675,2003,Parus major,Bird
British Trust for Ornithology,NT2675,2003,Larus fuscus,Bird
British Trust for Ornithology,NT2675,2003,Pica pica,Bird
British Trust for Ornithology,NT2675,2003,Sturnus vulgaris,Bird
British Trust for Ornithology,NT2675,2003,Larus marinus,Bird
British Trust for Ornithology,NT2675,2003,Passer domesticus,Bird
