Class,Order,Common Name,Country list,Region,system,biome,realm,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aves,Charadriiformes,Slender-billed gull,France,Europe,Freshwater,Temperate coastal rivers,Palearctic,0,,,13,,,12,,,13,,,26,,,17,,,286,,,204,,,621,,,566,,,850,,,,,,,,,,,,,,
Actinopterygii,Cypriniformes,Rednose labeo,Zimbabwe,Africa,Freshwater,Tropical and subtropical floodplain rivers and wetland complexes,Afrotropical,0,0,0,0.5,0.5,1,1,1,1.5,2,2,1.5,0.5,1.5,1,3,3,0.5,1,2,7,9,2,,,,,,,,,,,,,,,,,,,,,,
Actinopterygii,Cypriniformes,Rednose labeo,Zimbabwe,Africa,Freshwater,Tropical and subtropical floodplain rivers and wetland complexes,Afrotropical,0,0,0,0.5,0.5,1,1,1,1.5,2,2,1.5,0.5,1.5,1,3,3,0.5,1,2,7,9,2,,,,,,,,,,,,,,,,,,,,,,
Actinopterygii,Siluriformes,Plain squeaker,Zimbabwe,Africa,Freshwater,Tropical and subtropical floodplain rivers and wetland complexes,Afrotropical,0,0,0,0,1,0,0,0,0,0,0,0,1,1.5,2,1.5,1.5,2,3,4,1.5,2.5,4,,,,,,,,,,,,,,,,,,,,,,
Mammalia,Carnivora,Grey seal,United Kingdom,Europe,Marine,Unknown,Atlantic north temperate,0,0,,87,84,152,375,199,134,145,97,249,294,,219,261,278,216,222,279,252,277,206,166,161,125,123,131,123,44,54,58,,,,,,,,,,,,,
Mammalia,Carnivora,Grey seal,United Kingdom,Europe,Marine,Unknown,Atlantic north temperate,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,270,346,274,399,587,499,567,456,556,,,,,,,,,,,,,
Mammalia,Carnivora,Grey seal,United Kingdom,Europe,Marine,Unknown,Atlantic north temperate,0,,0,,49,141,111,,560,672,1077,1279,1329,,2175,2365,2931,3227,3733,4041,4554,5098,5852,5498,5956,6332,6648,5660,5711,5637,6439,5724,,,,,,,,,,,,,
Mammalia,Carnivora,Grey seal,United Kingdom,Europe,Marine,Unknown,Atlantic north temperate,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,514,795,940,1480,1455,1914,1962,2082,2540,,,,,,,,,,,,,
Mammalia,Carnivora,Grey seal,United Kingdom,Europe,Marine,Unknown,Atlantic north temperate,0,,0,,0,0,0,,0,0,0,0,0,,83,261,283,353,429,512,574,582,576,640,640,856,721,795,865,739,834,771,,,,,,,,,,,,,
Mammalia,Carnivora,Grey seal,United Kingdom,Europe,Marine,Unknown,Atlantic north temperate,0,0,,0,0,0,0,0,90,152,174,223,227,,79,161,219,282,245,304,349,414,556,595,508,339,583,638,784,686,826,1091,,,,,,,,,,,,,
Mammalia,Carnivora,Grey seal,United Kingdom,Europe,Marine,Unknown,Atlantic north temperate,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,146,118,195,231,299,271,362,300,,,,,,,,,,,,,
Mammalia,Carnivora,Grey seal,United Kingdom,Europe,Marine,Unknown,Atlantic north temperate,0,0,,0,0,0,0,0,0,0,0,0,153,,119,151,157,153,167,207,206,272,304,324,331,442,370,347,430,449,474,441,,,,,,,,,,,,,
Aves,Charadriiformes,Gull-billed tern,Denmark,Europe,Marine,Unknown,Atlantic north temperate,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Charadriiformes,Black-headed gull / Common black-headed gull,Denmark,Europe,Marine,Unknown,Atlantic north temperate,0,,,,,0,,,,,50,,,,,0,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Charadriiformes,Mew gull,Denmark,Europe,Marine,Unknown,Atlantic north temperate,0,,,,,0,,,,,10,,,,,0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Charadriiformes,Sandwich tern,Denmark,Europe,Marine,Unknown,Atlantic north temperate,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Charadriiformes,Sandwich tern,Italy,Europe,Marine,Unknown,Atlantic north temperate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,385,410,370,570,563,686,476,746,604,,,,,,,,,,
Aves,Charadriiformes,Sandwich tern,Spain,Europe,Marine,Unknown,Atlantic north temperate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,44,160,471,552,723,832,1219,1355,1591,1422,,,,,,,,,,,
Aves,Charadriiformes,Lesser black-backed gull,Spain,Europe,Marine,Unknown,Atlantic north temperate,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,20,,,,41,63,,,122,143,,,82,,,,96,,104,,,,,,,,
Aves,Charadriiformes,Sandwich tern,France,Europe,Marine,Unknown,Atlantic north temperate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,30,1993,,,,,0,2,1,0,22,61,,,,,,,,,,,
Aves,Falconiformes,White-tailed eagle,Denmark,Europe,Marine,Unknown,Atlantic north temperate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,6,9,9,11,13,13,15,17,22,28,,,,,
Aves,Pelecaniformes,Northern gannet,Canada,North America,Marine,Unknown,Atlantic north temperate,0,0,0,0,0,0,0,0.001,0.001,0.001,0.002,0.002,0.003,0.005,0.007,0.009,0.013,0.019,0.026,0.035,0.05,0.069,0.092,0.121,0.168,0.202,0.227,0.409,0.828,2.48,1.44,3.22,1.47,2.56,11.9,19.6,12.5,7.48,32.7,45.7,46.6,37.9,22.5,,
Aves,Falconiformes,Peregrine falcon,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,0,,,,,0,,,,,0,,,,,0,,,,,2,,,,,14,,,,,42,,,,,,,,,,,,,,
Aves,Galliformes,Wild turkey,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.004,0.005,0.007,0.008,0.011,0.014,0.017,0.022,0.027,0.035,0.044,0.059,0.074,0.091,0.119,0.147,0.192,0.247,0.321,0.403,0.529,0.616,0.856,1.05,1.45,1.74
